,rating
314,1
315,8
316,10
317,9
318,8
319,8
320,10
321,9
322,9
323,9
324,1
325,8
326,9
327,9
328,9
329,10
330,10
331,10
332,10
333,10
334,9
335,10
336,8
337,4
338,9
339,10
340,3
341,9
342,3
343,10
344,8
345,5
346,6
347,10
348,9
349,3
350,10
351,6
352,7
353,10
354,10
355,10
356,10
357,9
358,9
359,9
360,8
361,7
362,8
363,9
364,10
365,8
366,6
367,10
368,9
369,7
370,7
371,10
372,9
373,9
374,10
375,7
376,7
377,9
378,9
379,9
380,8
381,10
382,10
383,8
384,10
385,10
386,4
387,7
388,3
389,8
390,9
391,10
392,10
393,9
394,7
395,8
396,9
397,9
398,10
399,9
400,7
401,8
402,10
403,9
404,7
405,10
406,9
407,4
408,10
409,9
410,8
411,9
412,9
413,9
414,8
415,9
416,9
417,10
418,5
419,7
420,10
421,10
422,9
423,8
424,8
425,10
426,8
427,9
428,9
429,8
430,9
431,9
432,10
433,9
434,9
435,9
436,8
437,10
438,7
439,8
440,7
441,9
442,9
443,7
444,8
445,9
446,10
447,10
448,8
449,9
450,10
451,8
452,4
453,9
454,8
455,1
456,8
457,9
458,9
459,9
460,9
461,9
462,10
463,10
464,10
465,9
466,9
467,10
468,10
469,9
470,9
471,8
472,9
473,10
474,7
475,10
476,9
477,9
478,9
479,10
480,9
481,10
482,10
483,10
484,9
485,9
486,9
487,7
488,9
489,9
490,10
491,8
492,10
493,9
494,9
495,8
496,8
497,9
498,8
499,9
500,10
501,10
502,9
503,7
504,6
505,10
506,10
507,8
508,8
509,10
510,10
511,10
512,9
513,8
514,9
515,8
516,9
517,10
518,10
519,7
520,7
521,9
522,10
523,8
524,10
525,10
526,9
527,10
528,9
529,10
530,10
531,8
532,10
533,10
534,10
535,10
536,10
537,8
538,10
539,9
540,9
541,8
542,9
543,7
544,10
545,10
546,9
547,9
548,9
549,8
550,7
551,8
552,10
553,10
554,7
555,10
556,10
557,9
558,10
559,9
560,10
561,7
562,10
563,9
564,10
565,9
566,9
567,7
568,8
569,9
570,9
571,8
572,8
573,9
574,10
575,8
576,3
577,9
578,6
579,8
580,6
581,6
582,9
583,8
584,3
585,9
586,9
587,9
588,10
589,8
590,8
591,9
592,10
593,10
594,9
595,10
596,9
597,10
598,8
599,9
600,8
601,9
602,9
603,9
604,10
605,2
606,7
607,8
608,10
609,10
610,5
611,10
612,9
613,8
614,3
615,8
616,10
617,10
618,10
619,8
620,8
621,9
622,10
623,8
624,4
625,10
626,10
627,8
628,9
629,10
630,6
631,10
632,1
633,10
634,10
635,10
636,3
637,9
638,9
639,10
640,7
641,10
642,9
643,9
644,10
645,9
646,2
647,2
648,8
649,10
650,10
651,10
652,10
653,9
654,8
655,9
656,5
657,4
658,10
659,3
660,8
661,9
662,5
663,2
664,3
665,8
666,8
667,7
668,6
669,9
670,8
671,1
672,10
673,9
674,8
675,7
676,9
677,10
678,10
679,10
680,9
681,10
682,10
683,10
684,9
685,8
686,10
687,9
688,2
689,9
690,8
691,9
692,9
693,9
694,9
695,9
696,9
697,9
698,9
699,9
700,9
701,9
702,10
703,9
704,10
705,9
706,9
707,8
708,9
709,5
710,2
711,8
712,8
713,1
714,8
715,10
716,3
717,9
718,7
719,8
720,10
721,8
722,10
723,10
724,7
725,3
726,9
727,2
728,10
729,8
730,10
731,10
732,3
733,10
734,9
735,10
736,8
737,10
738,9
739,8
740,10
741,10
742,9
743,1
744,9
745,8
746,10
747,8
748,10
749,6
750,9
751,9
752,10
753,8
754,10
755,10
756,1
757,9
758,9
759,8
760,10
761,9
762,5
763,8
764,9
765,8
766,10
767,9
768,10
769,8
770,9
771,9
772,8
773,8
774,8
775,9
776,10
777,10
778,9
779,7
780,9
781,9
782,2
783,7
784,9
785,10
786,9
787,9
788,5
789,9
790,9
791,8
792,8
793,3
794,9
795,8
796,10
797,9
798,8
799,8
800,9
801,9
802,8
803,10
804,8
805,10
806,7
807,10
808,7
809,9
810,6
811,9
812,8
813,10
814,9
815,8
816,8
817,8
818,8
819,8
820,8
821,8
822,10
823,7
824,5
825,8
826,9
827,9
828,9
829,10
830,9
831,9
832,10
833,7
834,8
835,9
836,9
837,9
838,10
839,10
840,10
841,8
842,9
843,10
844,10
845,10
846,9
847,9
848,6
849,8
850,9
851,10
852,10
853,9
854,5
855,9
856,8
857,9
858,9
859,9
860,10
861,9
862,8
863,9
864,10
865,10
866,9
867,10
868,9
869,10
870,9
871,10
872,10
873,8
874,8
875,10
876,10
877,7
878,9
879,9
880,9
881,10
882,10
883,6
884,9
885,8
886,9
887,10
888,8
889,10
890,8
891,9
892,10
893,6
894,9
895,9
896,9
897,10
898,9
899,9
900,9
901,9
902,8
903,9
904,9
905,9
906,9
907,9
908,8
909,10
910,9
911,9
912,9
913,9
914,9
915,7
916,9
917,9
