,reviews,date,clean_review,sentiment
10,"✅ Trip Verified |  Flew GA875 Tokyo Haneda to Jakarta. The check in process was quite chaotic as there was only a single desk open for all business class which meant long queues building up. Eventually when I finished the check in process, I was given a voucher to access the TIAT Lounge, however upon entering the lounge I was informed that I would have to wait outside as the lounge was full. Therefore, I decided to use my AMEX Card which allows me access to the SKY lounge. When it came time to board, both Business and Economy class passengers were boarded at the same time, however this did not lead to any delays in boarding. When entering the aircraft, the cabin crew gave a warm welcome. The flight itself was uneventful, however the meals offered were very well prepared and with sufficient portions that I just went with a salad and main course both of which were tasty and well presented. We arrived in Jakarta on schedule and when the aircraft door was opened, I was met by Vianda from the Garuda PSA Team who escorted me through immigration, baggage collect, customs and assisted me in getting a taxi. Thank you very much Vianda. My conclusion is that the onboard flight and ground services in Jakarta were outstanding, however these we let down by the long check in times and lack of lounge access in Tokyo Haneda airport. I note that Garuda uses a local company at Haneda to help with the check in process, however that should not be an excuse.",2024-01-20,flew ga875 tokyo haneda jakarta check process quite chaotic single desk open business class meant long queue building eventually finish check process give voucher access tiat lounge however upon enter lounge inform would wait outside lounge full therefore decide use amex card allows access sky lounge come time board business economy class passenger board time however lead delay boarding enter aircraft cabin crew give warm welcome flight uneventful however meal offer well prepared sufficient portion go salad main course tasty well present arrive jakarta schedule aircraft door open met vianda garuda psa team escort immigration baggage collect custom assist get taxi thank much vianda conclusion onboard flight ground service jakarta outstanding however let long check time lack lounge access tokyo haneda airport note garuda us local company haneda help check process however excuse,Positive
11,"Not Verified | Poor communication with passengers regarding issues, digital check in infrastructure broke down resulting in long check in lines lasting hours without sufficient communication with passengers waiting in line. In-flight accommodation and entertainments are sufficient but does not stand out in any way. A mediocre airline at best. Definitely lower than standard for a national airline for such a big country.",2024-01-15,poor communication passenger regard issue digital check infrastructure broke result long check line last hour without sufficient communication passenger wait line inflight accommodation entertainment sufficient stand way mediocre airline best definitely low standard national airline big country,Positive
12,"✅ Trip Verified |  Flew GA874 Jakarta to Tokyo Haneda overnight flight. Check in was quite fast and I was then escorted through security, immigration and into the Garuda lounge. This was a great fast-track service. The Garuda lounge was quite comfortable, and there was a very good selection of food, snacks, and drinks available, and the lounge staff were very attentive. When it came time to board, I was assisted by Ryan from the Garuda PSA team who help provide a buggy to take me to the remote area of the airport from where to board the aircraft. At the gate I was allowed to board right away. The Garuda cabin crew gave me a very warm welcome and guided me to my seat. As it was an overnight flight, I tried to get some sleep, however when awoke and went to the toilet, I was met by the cabin crew and Chef Erwin who presented me with a birthday cake. It was a very pleasantly surprised and I really appreciate the effort of the crew to recognize that it was my birthday and to prepare the cake, therefore I would like to thank the business class cabin crew made up of Budi Handoko, Ellyza, Ayu, Zulfa and Chef Erwin who really made my day by proving this small, but significant gesture. I have been flying for over 45 years and many times on my birthday, however this is the first time that this has happened. When it came for breakfast, I was treated with a very good selection of food, and I chose the omelet that was garnished with a good selection of side dishes. Upon arrival in Haneda I was met at the plane door by and escorted through immigration, customs and out to the taxi. I very much appreciate all the help, assistance and especially the birthday cake onboard. Thank you very much Garuda-Indonesia.",2024-01-08,flew ga874 jakarta tokyo haneda overnight flight check quite fast escort security immigration garuda lounge great fasttrack service garuda lounge quite comfortable good selection food snack drink available lounge staff attentive come time board assist ryan garuda psa team help provide buggy take remote area airport board aircraft gate allow board right away garuda cabin crew give warm welcome guide seat overnight flight try get sleep however awoke go toilet met cabin crew chef erwin present birthday cake pleasantly surprised really appreciate effort crew recognize birthday prepare cake therefore would like thank business class cabin crew make budi handoko ellyza ayu zulfa chef erwin really make day prove small significant gesture fly 45 year many time birthday however first time happen come breakfast treat good selection food chose omelet garnish good selection side dish upon arrival haneda met plane door escort immigration custom taxi much appreciate help assistance especially birthday cake onboard thank much garudaindonesia,Positive
13,"✅ Trip Verified |   Flew on GA-89 Amsterdam to Jakarta December 30th. I was picked up at my hotel by a car provided by Garuda-Indonesia and driven to the VIP Center at Schiphol airport. In the VIP Center they take care of all check in and immigration procedures without me having to leave the VIP Lounge. This is an outstanding service provided by Garuda-Indonesia. The aircraft was parked in a remote area; however, I was driven to the aircraft by the VIP Center car and was allowed to board immediately. I was welcomed at the aircraft door by the cabin crew with the warm welcoming Garuda-Indonesia smile. After takeoff there was large selection of food on offer from starters, main course, deserts, and cheese board. I opted for the main course only and chose salmon. The salmon was well presented and tasted savory. I then chose to rest, and the cabin crew made up the bed. I had a good rest, and when I woke up the cabin crew were on hand to serve snacks and hot and cold drinks. With less than three hours to landing the onboard chef offered a cooked breakfast. I chose an omelet which was garnished with sausage, tomatoes etc. Anoth great meal. The service from boarding in Amsterdam to landing in Jakarta was exceptional from the team made up of Ely Siswanto, Maria Dewi, Desti and Chef Erwin. The cabin crew was excellent and provided an outstanding service. What I really love about Garuda-Indonesia is their consistency in the service they provide both on the ground and in the air, they are true professionals and the SKYTRAX 2023 best cabin crew definitely holds true. We arrived in Jakarta 23 minutes ahead of schedule and I was met at the aircraft door by Vianda from the First-Class Ground staff who helped guide me through immigration, baggage collection, customs and out to a car provided by Garuda-Indonesia to take me to my home. Thank you to all on those that served on this GA89 flight both on the ground and in the air, for another excellent flight on Garuda-Indonesia.",2024-01-01,flew ga89 amsterdam jakarta december 30th picked hotel car provide garudaindonesia driven vip center schiphol airport vip center take care check immigration procedure without leave vip lounge outstanding service provide garudaindonesia aircraft park remote area however driven aircraft vip center car allow board immediately welcome aircraft door cabin crew warm welcome garudaindonesia smile takeoff large selection food offer starter main course desert cheese board opt main course chose salmon salmon well present taste savory chose rest cabin crew make bed good rest woke cabin crew hand serve snack hot cold drink less three hour land onboard chef offer cooked breakfast chose omelet garnish sausage tomato etc anoth great meal service boarding amsterdam land jakarta exceptional team make ely siswanto maria dewi desti chef erwin cabin crew excellent provide outstanding service really love garudaindonesia consistency service provide ground air true professional skytrax 2023 best cabin crew definitely hold true arrive jakarta 23 minute ahead schedule met aircraft door vianda firstclass ground staff help guide immigration baggage collection custom car provide garudaindonesia take home thank serve ga89 flight ground air another excellent flight garudaindonesia,Positive
14,"✅ Trip Verified | Flew on GA-88 Jakarta to Amsterdam. I was picked up at my home by a car provided by Garuda-Indonesia. I was then met at the curb side at the airport and was assisted to the check in area, through immigration and into the First-Class lounge. During this process I was assisted from curb side through to boarding the aircraft by Ms. Vianda. Thank you Vianda your help, assistance and professionalism was much appreciated. The onboard service was outstanding from the team made up of Percy Siegers, Vivik, Annisaa and Chef Fredi Saputra. The cabin crews’ eye for detail was exceptional and they were on hand throughout the flight and provided an outstanding service with their personal touch. We arrived in Amsterdam a little behind schedule due to strong headwinds, however I had more than sufficient time to catch my connecting flight. In Amsterdam airport Garuda-Indonesia using the VIP Center who picks you up from the aircraft and takes to the VIP lounge and then to my connecting flight. This is another great service provided by Garuda-Indonesia Thank you, Garuda-Indonesia, for another outstanding flight.",2023-12-23,flew ga88 jakarta amsterdam picked home car provide garudaindonesia met curb side airport assist check area immigration firstclass lounge process assist curb side boarding aircraft m vianda thank vianda help assistance professionalism much appreciate onboard service outstanding team make percy siegers vivik annisaa chef fredi saputra cabin crew eye detail exceptional hand throughout flight provide outstanding service personal touch arrive amsterdam little behind schedule due strong headwind however sufficient time catch connect flight amsterdam airport garudaindonesia use vip center pick aircraft take vip lounge connect flight another great service provide garudaindonesia thank garudaindonesia another outstanding flight,Positive
15,"✅ Trip Verified | Flew on GA-683 Sorong – Jakarta, although the flight was full the check in process was quite quick and the staff were very friendly. There is a small lounge in Sorong that Garuda Indonesia uses. The lounge has a limited selection of food and snacks, however sufficient for short stay. When it came time for boarding, there was a long queue, however the boarding process was managed well. I had pre-order a diabetic meal and after takeoff the cabin crew came and asked when I wanted to eat. The diabetic meal served was quite savory and it was served with hot and cold drinks. The cabin crew of Tarmizal Indra and Tiara Veroosta where very helpful and were on hand throughout the flight. Thank you both for a great service. When I landed in Jakarta, I was meet at the plane door by Hardi from Garuda Premium Services and he helped and assisted me obtaining my luggage. Thank you Hardi. Overall, an excellent service.",2023-12-21,flew ga683 sorong jakarta although flight full check process quite quick staff friendly small lounge sorong garuda indonesia us lounge limited selection food snack however sufficient short stay come time boarding long queue however boarding process manage well preorder diabetic meal takeoff cabin crew come ask want eat diabetic meal serve quite savory serve hot cold drink cabin crew tarmizal indra tiara veroosta helpful hand throughout flight thank great service land jakarta meet plane door hardi garuda premium service help assist obtain luggage thank hardi overall excellent service,Positive
16,"✅ Trip Verified |  Flew on GA-683 Sorong – Jakarta, although the flight was full the check in process was quite quick and the staff were very friendly. There is a small lounge in Sorong that Garuda Indonesia uses. The lounge has a limited selection of food and snacks, however sufficient for short stay. When it came time for boarding, there was a long queue, however the boarding process was managed well. I had pre-order a diabetic meal and after takeoff the cabin crew came and asked when I wanted to eat. The diabetic meal served was quite savory and it was served with hot and cold drinks. The cabin crew of Tarmizal Indra and Tiara Veroosta where very helpful and were on hand throughout the flight. Thank you both for a great service. When I landed in Jakarta, I was meet at the plane door by Hardi from Garuda Premium Services and he helped and assisted me obtaining my luggage. Thank you Hardi. Overall, an excellent service.",2023-12-17,flew ga683 sorong jakarta although flight full check process quite quick staff friendly small lounge sorong garuda indonesia us lounge limited selection food snack however sufficient short stay come time boarding long queue however boarding process manage well preorder diabetic meal takeoff cabin crew come ask want eat diabetic meal serve quite savory serve hot cold drink cabin crew tarmizal indra tiara veroosta helpful hand throughout flight thank great service land jakarta meet plane door hardi garuda premium service help assist obtain luggage thank hardi overall excellent service,Positive
17,"✅ Trip Verified |  Excellent service, always pleasant to fly with Garuda Indonesia. I strongly recommend this service. Very polite crew and friendly. Garuda is one of the best companies.",2023-12-07,excellent service always pleasant fly garuda indonesia strongly recommend service polite crew friendly garuda one best company,Positive
18,"✅ Trip Verified |  Flew on GA-682 Jakarta to Sorong. I was able to check-in at the SKY Priority area and the check in staff were most helpful and I was then escorted to the Garuda lounge, were there was a good selection of food, snacks, and soft drinks. The lounge was very quiet as it was late at night, however there were sufficient staff around to assist. When it came time for boarding, I was escorted to the plane and was able to board right away.. The flight was full, however there was a meal service with two choices, and this was served with hot and cold drinks. Additionally, prior to landed they was another snack provided with a choice of hot and cold drinks. The overall quality of food was more than satisfactory. We arrived in Sorong on time and baggage was delivered within 15 minutes of landing and I more than sufficient time to catch my connecting flight. Overall service was very good, and I appreciate the help and assistance of both cabin crew Eri Andiyana and Efweny Septahaty",2023-12-06,flew ga682 jakarta sorong able checkin sky priority area check staff helpful escort garuda lounge good selection food snack soft drink lounge quiet late night however sufficient staff around assist come time boarding escort plane able board right away flight full however meal service two choice serve hot cold drink additionally prior land another snack provide choice hot cold drink overall quality food satisfactory arrive sorong time baggage deliver within 15 minute land sufficient time catch connect flight overall service good appreciate help assistance cabin crew eri andiyana efweny septahaty,Positive
19,"✅ Trip Verified |   My flight to Jakarta was to use up a Covid flight credit. I had originally booked a direct flight from Melbourne to Jakarta, months later I was rebooked to a flight Via Denpasar (Bali). I completed online check in but, was unable to print my boarding pass. Once i arrived the airport check in was efficient. Melbourne to Denpasar was an older aircraft with signs of aging showing. Seats comfortable as my meal was very tasty and the crew friendly and efficient. I found the transfer in Bali to be very confusing! No clear signage and no domestic recheck counter. Denpasar to Jakarta brand new A330 neo. Boarding was chaotic as the sign for the row numbers was held way out of sight for people at the back of line, Instead of walking along the line to assist with boarding. Aircraft was brand new with great seats and a fantastic Business product, Meal was very tasty and Crew were very nice. I hope that the A330 neo will be deployed on the Australia routes. They would have a superior product to their competitors. App and website need a serious update as well as the transfer procedures in Denpasar. I will probably fly Garuda again and I hope to see their new cabins to Australia soon!",2023-11-12,flight jakarta use covid flight credit originally book direct flight melbourne jakarta month later rebooked flight via denpasar bali complete online check unable print boarding pas arrive airport check efficient melbourne denpasar old aircraft sign age show seat comfortable meal tasty crew friendly efficient found transfer bali confuse clear signage domestic recheck counter denpasar jakarta brand new a330 neo boarding chaotic sign row number held way sight people back line instead walk along line assist boarding aircraft brand new great seat fantastic business product meal tasty crew nice hope a330 neo deployed australia route would superior product competitor app website need serious update well transfer procedure denpasar probably fly garuda hope see new cabin australia soon,Positive
20,"✅ Trip Verified |  Flew on GA-407 Denpasar to Jakarta. I was met at the departure curb side by Garuda Premier Class representative Qulan, and he help and assisted me to check-in, however based on my ticket my pre-booked seat assigned was 6K, however at the check in desk it was changed to 7K without any explanation. I requested an explanation, however, did not get any creditable explanation. If it was operational reasons that is all they had to say, and I would have accepted. Eventually I was escorted to the lounge although small it is clean and had sufficient snacks and drinks available and the team in the lounge were extremely helpful. When it came time for boarding Qulan escorted me through security and on to the plane. The flight was full, however there was only two choices of food available, and both were rice. I don’t like rice, however there was no alternative, therefore I just had a soft drink. Upon arrival in Jakarta, I was met at the gate by Fira from the Garuda Premier Team and escorted to the baggage area. Thank you, Fira, and best wishes, on your up coming wedding. I really appreciate your help and assistance. Overall service was good; however, my seat being changed without an explanation was a low point.",2023-11-07,flew ga407 denpasar jakarta met departure curb side garuda premier class representative qulan help assist checkin however base ticket prebooked seat assign 6k however check desk change 7k without explanation request explanation however get creditable explanation operational reason say would accepted eventually escort lounge although small clean sufficient snack drink available team lounge extremely helpful come time boarding qulan escort security plane flight full however two choice food available rice dont like rice however alternative therefore soft drink upon arrival jakarta met gate fira garuda premier team escort baggage area thank fira best wish come wedding really appreciate help assistance overall service good however seat change without explanation low point,Positive
21,"✅ Trip Verified |   Flew on GA402 from Jakarta to Denpasar as the flight is an early morning departure, however Garuda-Indonesia check-in desks are always open. In the priority check-in area I was assisted by Heibert from the Garuda-Indonesia ground support staff who help check me in and then escorted me through security and into the VIP Lounge. The boarding gate was very close to the lounge and when it came time for boarding, I was again assisted by Heibert who escorted me to the plane door. I was given a warm welcome by the Garuda cabin crew and was escorted to my seat. The flight was full, however the cabin crew as usual were quite helpful and friendly. There were three choices for breakfast, however as I had some food in the lounge I went with a light snack with tea, We arrived in Denpasar 19 minutes ahead of schedule and I was meet at the aircraft door by Garuda premium service team member Sony who escorted me to the baggage area and on to my car. If people read my reviews, they may think it is cut and paste review, however Garuda-Indonesia really keeps providing a consistent high level of excellent service both on the ground and in the air.",2023-11-03,flew ga402 jakarta denpasar flight early morning departure however garudaindonesia checkin desk always open priority checkin area assist heibert garudaindonesia ground support staff help check escort security vip lounge boarding gate close lounge come time boarding assist heibert escort plane door give warm welcome garuda cabin crew escort seat flight full however cabin crew usual quite helpful friendly three choice breakfast however food lounge go light snack tea arrive denpasar 19 minute ahead schedule meet aircraft door garuda premium service team member sony escort baggage area car people read review may think cut paste review however garudaindonesia really keep provide consistent high level excellent service ground air,Positive
22,"✅ Trip Verified |  I recently enjoyed a pleasure flight, and I must say that the service truly stood out as the most remarkable aspect of my journey. It's no surprise that Garuda Indonesia was awarded as The World's Best Cabin Crew. The attentiveness and professionalism of cabin crew made the experience enjoyable and memorable. Starting with the positive aspects, the welcome drink and bottle of water provided on the ground were appreciated. However, including a small sweet treat, such as a piece of candy or some snacks, would have added a delightful touch to the welcome service. On this flight, I requested a seafood meal. The first service commenced approximately 25 minutes after take-off, during which a starter of salmon tart was served. Before the lights were turned out, which was approximately an hour after take-off, the second service began. I received a tuna sandwich as a light snack or an in-between course. One of the cabin crew accidentally offered me a regular meal, and I opted for the chicken pie, resulting in my receiving two snacks. Despite this, it enhanced my dining experience satisfaction. In terms of the meal schedule, I suggest serving a hot meal during the light snack or in-between course service, not just during breakfast or the pre-landing meal. This adjustment would provide passengers with a satisfying dinner option and contribute to a more comfortable journey pace. Approximately halfway through the journey, juice service was provided. Integrating the light snack or in-between course during the juice service, midway through the flight, could better align with passengers' hunger levels and create a more seamless dining experience. About an hour and 50 minutes prior to landing, breakfast or a pre-landing meal was served, which consisted of appetizers and a hot meal. For the appetizer, I received mixed fruit, yogurt, a bread roll accompanied by strawberry jam and butter. For the hot meal, I was served stir-fry noodles with sweet and sour seafood. Overall, my journey with Garuda Indonesia was made truly memorable by the outstanding service and thoughtful meal offerings.",2023-10-29,recently enjoy pleasure flight must say service truly stood remarkable aspect journey surprise garuda indonesia award world best cabin crew attentiveness professionalism cabin crew make experience enjoyable memorable start positive aspect welcome drink bottle water provide ground appreciate however include small sweet treat piece candy snack would add delightful touch welcome service flight request seafood meal first service commenced approximately 25 minute takeoff starter salmon tart serve light turn approximately hour takeoff second service begin receive tuna sandwich light snack inbetween course one cabin crew accidentally offer regular meal opt chicken pie result receive two snack despite enhance din experience satisfaction term meal schedule suggest serve hot meal light snack inbetween course service breakfast prelanding meal adjustment would provide passenger satisfy dinner option contribute comfortable journey pace approximately halfway journey juice service provide integrate light snack inbetween course juice service midway flight could well align passenger hunger level create seamless din experience hour 50 minute prior land breakfast prelanding meal serve consist appetizer hot meal appetizer receive mixed fruit yogurt bread roll accompany strawberry jam butter hot meal serve stirfry noodle sweet sour seafood overall journey garuda indonesia make truly memorable outstanding service thoughtful meal offering,Positive
